season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points,laps_of_split_data,lap_1_position,lap_1_laptime,lap_1_elapsedtime,lap_2_position,lap_2_laptime,lap_2_elapsedtime,lap_3_position,lap_3_laptime,lap_3_elapsedtime,lap_4_position,lap_4_laptime,lap_4_elapsedtime,lap_5_position,lap_5_laptime,lap_5_elapsedtime,lap_6_position,lap_6_laptime,lap_6_elapsedtime,lap_7_position,lap_7_laptime,lap_7_elapsedtime,lap_8_position,lap_8_laptime,lap_8_elapsedtime,lap_9_position,lap_9_laptime,lap_9_elapsedtime,lap_10_position,lap_10_laptime,lap_10_elapsedtime,lap_11_position,lap_11_laptime,lap_11_elapsedtime,lap_12_position,lap_12_laptime,lap_12_elapsedtime,lap_13_position,lap_13_laptime,lap_13_elapsedtime,lap_14_position,lap_14_laptime,lap_14_elapsedtime,lap_15_position,lap_15_laptime,lap_15_elapsedtime,lap_16_position,lap_16_laptime,lap_16_elapsedtime,lap_17_position,lap_17_laptime,lap_17_elapsedtime,lap_18_position,lap_18_laptime,lap_18_elapsedtime,lap_19_position,lap_19_laptime,lap_19_elapsedtime,lap_20_position,lap_20_laptime,lap_20_elapsedtime,lap_21_position,lap_21_laptime,lap_21_elapsedtime,lap_22_position,lap_22_laptime,lap_22_elapsedtime,lap_23_position,lap_23_laptime,lap_23_elapsedtime,lap_24_position,lap_24_laptime,lap_24_elapsedtime,lap_25_position,lap_25_laptime,lap_25_elapsedtime,lap_26_position,lap_26_laptime,lap_26_elapsedtime,lap_27_position,lap_27_laptime,lap_27_elapsedtime,lap_28_position,lap_28_laptime,lap_28_elapsedtime,lap_29_position,lap_29_laptime,lap_29_elapsedtime,lap_30_position,lap_30_laptime,lap_30_elapsedtime,lap_31_position,lap_31_laptime,lap_31_elapsedtime,lap_32_position,lap_32_laptime,lap_32_elapsedtime,lap_33_position,lap_33_laptime,lap_33_elapsedtime,lap_34_position,lap_34_laptime,lap_34_elapsedtime,lap_35_position,lap_35_laptime,lap_35_elapsedtime,lap_36_position,lap_36_laptime,lap_36_elapsedtime,lap_37_position,lap_37_laptime,lap_37_elapsedtime,lap_38_position,lap_38_laptime,lap_38_elapsedtime,lap_39_position,lap_39_laptime,lap_39_elapsedtime,lap_40_position,lap_40_laptime,lap_40_elapsedtime,lap_41_position,lap_41_laptime,lap_41_elapsedtime,lap_42_position,lap_42_laptime,lap_42_elapsedtime,lap_43_position,lap_43_laptime,lap_43_elapsedtime,lap_44_position,lap_44_laptime,lap_44_elapsedtime,lap_45_position,lap_45_laptime,lap_45_elapsedtime
2009-2010,2010 Olympic Winter Games,1000m,-1,m,Quarterfinals,4,2,1,,,206.0,FrancoisHAMELIN,6167,CAN,"
						1:25.037 
					",Q,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,2010 Olympic Winter Games,1000m,-1,m,Heats,1,2,3,,,247.0,KNEGTSjinkie,7352,NED,"
						1:25.449 
					",Q,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,2010 Olympic Winter Games,1000m,-1,m,Heats,2,1,1,,,206.0,FrancoisHAMELIN,6167,CAN,"
						1:25.714 
					",Q,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1000m,2,m,Preliminaries,8,4,4,,,152.0,KNEGTSjinkie,7352,NED,"
						1:38.858 
					",,,9.0,1.0,14.120,14.120,1.0,11.320,25.440,1.0,11.440,36.890,1.0,10.640,47.530,2.0,10.190,57.720,2.0,10.100,1:07.820,3.0,10.070,1:17.900,4.0,10.160,1:28.060,4.0,10.730,1:38.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Preliminaries,8,3,3,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.977 
					",q,,9.0,4.0,13.14,13.14,4.0,9.91,23.05,3.0,9.60,32.65,3.0,9.26,41.91,3.0,9.04,50.95,3.0,9.16,1:00.11,3.0,9.15,1:09.26,3.0,9.17,1:18.43,3.0,9.55,1:27.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,"ISU World Cup 2010/2011, RUS, Moscow",1000m,2,m,Heats,4,1,2,,,155.0,KNEGTSjinkie,7352,NED,"
						1:27.733 
					",Q,,9.0,2.0,12.97,12.97,2.0,9.70,22.67,2.0,9.84,32.51,4.0,9.34,41.85,3.0,9.41,51.26,1.0,8.94,1:00.20,1.0,9.14,1:09.34,1.0,9.16,1:18.50,1.0,9.24,1:27.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, CHN, Beijing",1000m,-1,m,Quarterfinals,3,3,3,,,871.0,KNEGTSjinkie,7352,NED,"
						1:30.185 
					",,,9.0,2.0,12.93,12.93,4.0,10.40,23.33,3.0,10.14,33.48,3.0,9.67,43.16,4.0,9.52,52.68,4.0,9.51,1:02.19,4.0,9.54,1:11.73,4.0,9.23,1:20.97,3.0,9.22,1:30.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,4,1,4,,,114.0,FrancoisHAMELIN,6167,CAN,"
						1:26.120 
					",Q,,9.0,3.0,12.65,12.65,3.0,9.35,22.01,3.0,9.22,31.24,3.0,9.28,40.52,1.0,8.93,49.46,1.0,9.02,58.48,1.0,8.94,1:07.43,1.0,9.20,1:16.63,1.0,9.49,1:26.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,8,2,3,,,170.0,KNEGTSjinkie,7352,NED,"
						1:28.187 
					",Q,,9.0,4.0,13.04,13.04,4.0,9.72,22.76,2.0,9.79,32.56,2.0,9.45,42.01,2.0,8.97,50.98,2.0,9.02,1:00.01,2.0,9.27,1:09.28,1.0,9.14,1:18.42,2.0,9.77,1:28.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,"Samsung ISU World Cup 2008/2009, GER, Dresden",1000m,-1,m,Preliminaries,9,1,2,,,160.0,KWAKYoon-Gy,6120,KOR,"
						1:31.177 
					",Q,,9.0,3.0,13.88,13.88,1.0,10.52,24.40,2.0,10.29,34.69,2.0,10.10,44.80,2.0,9.66,54.47,2.0,9.44,1:03.91,2.0,9.10,1:13.02,1.0,8.87,1:21.89,1.0,9.29,1:31.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,2002 World Championships,500m,-1,w,Heats,6,1,3,,,,Marie-EveDROLET,6059,CAN,"
						46.622 
					",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,2002 World Championships,500m,-1,w,QuarterFinals,4,4,3,,,,Marie-EveDROLET,6059,CAN,"
						1:16.097 
					",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),500m,-1,m,Preliminaries,9,1,5,,,2.0,KNEGTSjinkie,7352,NED,"
						42.266 
					",Q,,5.0,3.0,7.28,7.28,2.0,9.0,16.28,2.0,8.51,24.79,2.0,8.71,33.50,1.0,8.76,42.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Quarterfinals,1,1,2,,,9.0,AriannaFONTANA,6227,ITA,"
						44.369 
					",Q,,5.0,1.0,7.17,7.17,1.0,9.57,16.74,1.0,9.04,25.78,1.0,9.14,34.92,1.0,9.44,44.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Quarterfinals,1,2,5,,,7.0,SCHULTINGSuzanne,8493,NED,"
						44.431 
					",Q,,5.0,4.0,7.67,7.67,4.0,9.33,17.00,3.0,9.02,26.02,2.0,9.27,35.29,2.0,9.14,44.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Semifinals,1,2,3,,,9.0,AriannaFONTANA,6227,ITA,"
						44.022 
					",QA,,5.0,2.0,7.24,7.24,2.0,9.51,16.75,2.0,9.07,25.82,2.0,8.87,34.69,2.0,9.33,44.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Semifinals,1,PEN,4,,,7.0,SCHULTINGSuzanne,8493,NED,"
						PEN
					",,,5.0,4.0,7.53,,4.0,9.42,,3.0,8.94,,3.0,8.88,,4.0,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Heats,1,1,1,,,7.0,SCHULTINGSuzanne,8493,NED,"
						44.655 
					",Q,,5.0,1.0,7.56,7.56,1.0,9.60,17.16,1.0,9.03,26.19,1.0,9.18,35.37,1.0,9.28,44.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Heats,7,1,2,,,9.0,AriannaFONTANA,6227,ITA,"
						43.797 
					",Q,,5.0,1.0,7.19,7.19,1.0,9.43,16.62,1.0,8.95,25.57,1.0,9.05,34.62,,9.17,43.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Preliminaries,2,2,5,,,7.0,SCHULTINGSuzanne,8493,NED,"
						43.335 
					",Q,,5.0,2.0,7.36,7.36,2.0,9.28,16.64,2.0,8.77,25.41,2.0,8.88,34.29,,9.04,43.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),500m,-1,w,Preliminaries,3,1,2,,,9.0,AriannaFONTANA,6227,ITA,"
						44.074 
					",Q,,5.0,1.0,7.30,7.30,1.0,9.50,16.80,1.0,8.88,25.68,1.0,9.05,34.73,1.0,9.34,44.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,Olympic Winter Games 2018,500m,-1,m,Heats,5,PEN,4,,,2.0,KNEGTSjinkie,7352,NED,"
						PEN
					",,,5.0,4.0,7.08,,4.0,8.80,,4.0,8.02,,3.0,8.13,,3.0,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m,2,m,Heats,5,1,8,,,116.0,FrancoisHAMELIN,6167,CAN,"
						2:20.933 
					",Q,,14.0,2.0,10.28,10.28,4.0,13.18,23.46,4.0,11.66,35.12,5.0,11.42,46.54,5.0,10.52,57.06,4.0,9.75,1:06.81,4.0,9.48,1:16.29,3.0,9.24,1:25.53,2.0,9.01,1:34.54,2.0,9.39,1:43.93,2.0,9.2,1:53.13,1.0,8.97,2:02.10,1.0,9.27,2:11.37,1.0,9.59,2:20.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m,2,m,Heats,7,1,4,,,45.0,KWAKYoon-Gy,6120,KOR,"
						2:25.457 
					",Q,,14.0,4.0,9.99,9.99,4.0,13.25,23.24,4.0,12.24,35.48,4.0,12.45,47.93,4.0,11.40,59.33,4.0,10.73,1:10.06,4.0,9.96,1:20.02,4.0,9.78,1:29.80,5.0,10.13,1:39.93,4.0,9.43,1:49.36,4.0,9.17,1:58.53,4.0,9.07,2:07.60,1.0,8.64,2:16.24,1.0,9.25,2:25.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,-1,m,Rep.Heats,3,1,6,,,116.0,FrancoisHAMELIN,6167,CAN,"
						2:19.585 
					",Q,,14.0,5.0,8.78,8.78,5.0,11.97,20.75,6.0,12.01,32.76,6.0,10.95,43.71,6.0,10.7,54.41,5.0,10.06,1:04.47,1.0,9.24,1:13.71,1.0,9.39,1:23.10,1.0,9.37,1:32.47,1.0,9.47,1:41.94,1.0,9.48,1:51.42,1.0,9.5,2:00.92,1.0,9.31,2:10.23,1.0,9.35,2:19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m,2,m,Semifinals,2,1,5,,,45.0,KWAKYoon-Gy,6120,KOR,"
						2:22.454 
					",QA,,14.0,4.0,11.26,11.26,5.0,14.23,25.49,5.0,12.22,37.71,7.0,11.55,49.26,7.0,10.14,59.40,3.0,9.2,1:08.60,1.0,9.0,1:17.60,2.0,9.42,1:27.02,3.0,9.47,1:36.49,3.0,9.48,1:45.97,3.0,9.35,1:55.32,2.0,9.14,2:04.46,1.0,8.79,2:13.25,1.0,9.23,2:22.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m,2,m,Semifinals,2,4,3,,,116.0,FrancoisHAMELIN,6167,CAN,"
						2:22.638 
					",QB,,14.0,2.0,10.93,10.93,3.0,14.35,25.28,4.0,12.28,37.56,6.0,11.56,49.12,5.0,10.18,59.30,1.0,9.21,1:08.51,2.0,9.15,1:17.66,1.0,9.21,1:26.87,1.0,9.41,1:36.28,1.0,9.50,1:45.78,1.0,9.33,1:55.11,1.0,9.29,2:04.40,2.0,9.02,2:13.42,4.0,,2:22.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-2016,ISU World Cup 2015/16 - Toronto (CAN),1500m,-1,m,Heats,2,1,5,,,1.0,KNEGTSjinkie,7352,NED,"
						2:20.731 
					",Q,,14.0,5.0,10.01,10.01,5.0,12.94,22.95,5.0,12.53,35.48,5.0,10.7,46.18,5.0,10.7,56.88,5.0,10.19,1:07.07,4.0,9.72,1:16.79,3.0,9.31,1:26.10,3.0,9.14,1:35.24,2.0,8.98,1:44.22,2.0,9.21,1:53.43,1.0,8.9,2:02.33,1.0,9.13,2:11.46,1.0,9.27,2:20.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
